bojí	boja	boj	bál	bojac	bojaci			bátie
hlce/hltá	hlcú/hltajú	hlc/hltaj	hltal	hltajúc	hltajúci		hltaný	hltanie
hmká	hmkajú	hmkaj	hmkal	hmkajúc	hmkajúci		hmkaný	hmkanie
hmlí	hmlia	hmli	hmlil	hmliac	hmliaci			hmlenie
hodí	hodia	hoď	hodil	hodiac	hodiaci	hodivší	hodený	hodenie
hojí	hoja	hoj	hojil	hojac	hojaci		hojený	hojenie
holí	holia	hoľ	holil	holiac	holiaci		holený	holenie
honí	honia	hoň	honil	honiac	honiaci		honený	honenie
hôli	hôlia	hôľ	hôlil	hôliac	hôliaci		hôlený	hôlenie
hrbí	hrbia	hrb	hrbil	hrbiac	hrbiaci		hrbený	hrbenie
hrčí	hrčia	hrč	hrčal	hrčiac	hrčiaci			hrčanie
hrčí	hrčia	hrč	hrčil	hrčiac	hrčiaci			hrčenie
hrdí	hrdia	hrď	hrdil	hrdiac	hrdiaci			hrdenie
hreje	hrejú	hrej	hrial	hrejúc	hrejúci		hriaty	hriatie
hrká	hrkajú	hrkaj	hrkal	hrkajúc	hrkajúci			hrkanie
hrnie	hrnú	hrň	hrnul	hrnúc	hrnúci		hrnutý 	hrnutie
hryzie	hryzú	hryz	hrýzol	hryzúc	hryzúci		hryzený	hryzenie
hubí	hubia	hub	hubil	hubiac	hubiaci		hubený	hubenie
hučí	hučia	huč	hučal	hučiac	hučiaci			hučanie
húka	húkajú	húkaj	húkal	húkajúc	húkajúci			húkanie
húpa	húpajú	húpaj	húpal	húpajúc	húpajúci			húpanie
húta	hútajú	hútaj	hútal	hútajúc	hútajúci			hútanie
hýbe	hýbu	hýb	hýbal	hýbuc/hýbajúc	hýbuci/hýbajúci		hýbaný	hýbanie
hynie	hynú	hyň	hynul	hynúc	hynúci			hynutie
hýri	hýria	hýr	hýril	hýriac	hýriaci			hýrenie
ihrá	ihrajú	ihraj	ihral	ihrajúc	ihrajúci		ihraný	ihranie
íska	ískajú	ískaj	ískal	ískajúc	ískajúci		ískaný	ískanie
istí	istia	isť/isti	istil	istiac	istiaci		istený	istenie
jačí	jačia	jač	jačal	jačiac	jačiaci			jačanie
jagá	jagajú	jagaj	jagal	jagajúc	jagajúci			jaganie
jarí			jarilo					jarenie
jasá	jasajú	jasaj	jasal	jasajúc	jasajúci			jasanie
jaší	jašia	jaš	jašil	jašiac	jašiaci			jašenie
javí	javia	jav	javil	javiac	javiaci		javený	javenie
ježí	ježia	jež	ježil	ježiac	ježiaci		ježený	ježenie
kadí	kadia	kaď	kadil	kadiac	kadiaci			kadenie
kajá/kaja	kajajú	kajaj	kajal	kajajúc	kajajúci			kajanie
kaká	kakajú	kakaj	kakal	kakajúc	kakajúci			kakanie
kála	kálajú	kálaj	kálal	kálajúc	kálajúci		kálaný	kálanie
kalí	kalia	kaľ	kalil	kaliac	kaliaci		kalený	kalenie
kanie	kanú	kaň	kanul	kanúc	kanúci			kanutie
kape	kapú	kap	kapal	kapúc	kapúci			kapanie
kaše/kasá	kašú/kasajú	kaš/kasaj	kasal	kašúc/kasajúc	kašúci/kasajúci		kasaný	kasanie
káže	kážu	káž	kázal	kážuc	kážuci		kázaný	kázanie
kazí	kazia	kaz	kazil	kaziac	kaziaci		kazený	kazenie
kladie	kladú	klaď	kládol	kladúc	kladúci		kladený	kladenie
kĺbi	kĺbia	kĺb	kĺbil	kĺbiac	kĺbiaci		kĺbený	kĺbenie
kľaje	kľajú	kľaj	klial	kľajúc	kľajúci			kliatie
kĺže	kĺžu	kĺž/kĺzaj	kĺzal	kĺžuc/kĺzajúc	kĺžuci/kĺzajúci		kĺzaný	kĺzanie
kojí	koja	koj	kojil	kojac	kojaci			kojenie
koná	konajú	konaj	konal	konajúc	konajúci		konaný	konanie
kope	kopú	kop	kopal	kopúc/kopajúc	kopúci/kopajúci		kopaný	kopanie
kopí	kopia	kop	kopil	kopiac	kopiaci		kopený	kopenie
korí	koria	kor	koril	koriac	koriaci			korenie
kosí	kosia	kos	kosil	kosiac	kosiaci		kosený	kosenie
kotí	kotia	koť	kotil	kotiac	kotiaci		kotený	kotenie
kuje	kujú	kuj	koval	kovajúc	kovajúci		kovaný	kovanie
krčí	krčia	krč	krčil	krčiac	krčiaci		krčený	krčenie
kŕka	kŕkajú	kŕkaj	kŕkal	kŕkajúc	kŕkajúci			kŕkanie
kŕmi	kŕmia	kŕm	kŕmil	kŕmiac	kŕmiaci		kŕmený	kŕmenie
kuká	kukajú	kukaj	kukal	kukajúc	kukajúci			kukanie
kúpe	kúpu	kúp	kúpal	kúpuc/kúpajúc	kúpuci/kúpajúci		kúpaný	kúpanie
kúpi	kúpia	kúp	kúpil	kúpiac		kúpivší	kúpený	kúpenie
kúri	kúria	kúr	kúril	kúriac	kúriaci			kúrenie
kuce/kutá	kucú/kutajú	kuc/kutaj	kutal	kutajúc	kutajúci		kutaný	kutanie
kutí	kutia	kuť	kutil	kutiac	kutiaci		kutený	kutenie
kydá	kydajú	kydaj	kydal	kydajúc	kydajúci		kydaný	kydanie
kynie	kynú	kyň	kynul	kynúc	kynúci			kynutie
kýši	kýšia	kýš	kýšil	kýšiac	kýšiaci		kýšený	kýšenie
kýva/kýve	kývajú/kývu	kýv/kývaj	kýval	kývajúc/kývuc	kývajúci/kývuci		kývaný	kývanie
ladí	ladia	laď	ladil	ladiac	ladiaci		ladený	ladenie
láka	lákajú	lákaj	lákal	lákajúc	lákajúci		lákaný	lákanie
ľaká	ľakajú	ľakaj	ľakal	ľakajúc	ľakajúci		ľakaný	ľakanie
láme	lámu	lám	lámal	lámuc/lámajúc	lámuci/lámajúci		lámaný	lámanie
lapá	lapajú	lap	lapal	lapajúc	lapajúci		lapaný	lapanie
lapí	lapia	lap	lapil	lapiac		lapivší	lapený	lapenie
láta/láce	látajú/lácu	látaj/lác	látal	látajúc/lácuc	látajúci		látaný	látanie
lení			lenilo					lenenie
lepí	lepia	lep	lepil	lepiac	lepiaci		lepený	lepenie
leží	ležia	lež	ležal	ležiac	ležiaci			ležanie
líči	líčia	líč	líčil	líčiac	líčiaci		líčený	líčenie
lezie	lezú	lez	liezol	lezúc	lezúci			lezenie
líha	líhajú	líhaj	líhal	líhajúc	líhajúci			líhanie
líši	líšia	líš	líšil	líšiac	líšiaci			líšenie
líže	lížu	líž	lízal	lížuc	lížuci		lízaný	lízanie
logá	logajú	logaj	logal	logajúc	logajúci		loganý	loganie
lomí	lomia	lom	lomil	lomiac	lomiaci		lomený	lomenie
loví	lovia	lov	lovil	loviac	loviaci		lovený	lovenie
lozí	lozia	loz	lozil	loziac	loziaci			lozenie
ľpie	ľpejú	ľpej	ľpel	ľpejúc	ľpejúci			ľpenie
ľúbi	ľúbia	ľúb	ľúbil	ľúbiac	ľúbiaci		ľúbený	ľúbenie
lúči	lúčia	lúč	lúčil	lúčiac	lúčiaci			lúčenie
luže/luhá	lužú/luhajú	luž/luhaj	luhal	lužúc/luhajúc	lužúci/luhajúci			luhanie
lúpe	lúpu/lúpajú	lúp/lúpaj	lúpal	lúpuc/lúpajúc	lúpuci/lúpajúci		lúpaný	lúpanie
lúpi	lúpia	lúp	lúpil	lúpiac	lúpiaci		lúpený	lúpenie
ľúti	ľútia	ľúť	ľútil	ľútiac	ľútiaci			ľútenie
macia	macajú	macaj	macal	macajúc	macajúci		macaný	macanie
máča	máčajú	máčaj	máčal	máčajúc	máčajúci		máčaný	máčanie
mága	mágajú	mágaj	mágal	mágajúc	mágajúci		máganý	máganie
maká	makajú	makaj	makal	makajúc	makajúci			makanie
máli	mália	máľ	málil	máliac	máliaci			málenie
mámi	mámia	mám	mámil	mámiac	mámiaci		mámený	mámenie
marí	maria	mar	maril	mariac	mariaci		marený	marenie
máta/máce	mátajú/mácu	mátaj/mác	mátal	mátajúc/mácuc	mátajúci/mácuci		mátaný	mátanie
máva	mávajú	mávaj	mával	mávajúc	mávajúci		mávaný	mávanie
maže	mažú	maž	mazal	mažúc	mažúci		mazaný	mazanie
mečí	mečia	meč	mečal	mečiac	mečiaci			mečanie
méka	mékajú	mékaj	mékal	mékajúc	mékajúci			mékanie
melí	melia	meľ	melil	meliac	meliaci		melený	melenie
mení	menia	meň	menil	meniac	meniaci		menený	menenie
meria	merajú	meraj	meral	merajúc	merajúci		meraný	meranie
merí	meria	mer	meril	meriac	meriaci		merený	merenie
mece/metá	mecú/metajú	mec/metaj	metal	metajúc	metajúci		metaný	metanie
mätie	mätú	mäť	miatol	mätúc	mätúci		mätený	mätenie
metie	metú	meť	mietol	metúc	metúci		metený	metenie
migá	migajú	migaj	migal	migajúc	migajúci			miganie
mihá	mihajú	mihaj	mihal	mihajúc	mihajúci			mihanie
míňa	míňajú	míňaj	míňal	míňajúc	míňajúci		míňaný	míňanie
minie	minú	miň	minul	minúc		minuvší	minutý	minutie
mlčí	mlčia	mlč	mlčal	mlčiac	mlčiaci			mlčanie
melie	melú	meľ	mlel	melúc	melúci		mletý	mletie
močí	močia	moč	močil	močiac	močiaci		močený	močenie
morí	moria	mor	moril	moriac	moriaci		morený	morenie
moce/motá	mocú/motajú	moc/motaj	motal	motajúc/mocúc	motajúci/mocúci		motaný	motanie
mrdá	mrdajú	mrdaj	mrdal	mrdajúc	mrdajúci			mrdanie
