bojí	boja	boj	bál	bojac	bojaci			bátie
oseká	osekajú	osekaj	osekal	osekajúc		osekavší	osekaný	osekanie
osíka	osíkajú	osíkaj	osíkal	osíkajúc		osíkavší	osíkaný	osíkanie
osinie	osinú	osiň	osinul	osinúc		osinuvší	osinutý	osinutie
oslní	oslnia	oslň	oslnil	oslniac		oslnivší	oslnený	oslnenie
osočí	osočia	osoč	osočil	osočiac		osočivší	osočený	osočenie
osolí	osolia	osoľ	osolil	osoliac		osolivší	osolený	osolenie
osopí	osopia	osop	osopil	osopiac		osopivší	osopený	osopenie
osoží	osožia	osož	osožil	osožiac	osožiaci			osoženie
osŕka	osŕkajú	osŕkaj	osŕkal	osŕkajúc	osŕkajúci			osŕkanie
ostrí	ostria	ostri	ostril	ostriac	ostriaci		ostrený	ostrenie
osúša	osúšajú	osúšaj	osúšal	osúšajúc	osúšajúci		osúšaný	osúšanie
osuší	osušia	osuš	osušil	osušiac		osušivší	osušený	osušenie
osype	osypú	osyp	osypal	osypúc		osypavší	osypaný	osypanie
osýpa	osýpajú	osýpaj	osýpal	osýpajúc	osýpajúci			osýpanie
ošatí	ošatia	ošať	ošatil	ošatiac		ošativší	ošatený	ošatenie
ošíva	ošívajú	ošívaj	ošíval	ošívajúc	ošívajúci			ošívanie
ošudí	ošudia	ošuď	ošudil	ošudiac		ošudivší	ošudený	ošudenie
ošúpe	ošúpu	ošúp	ošúpal	ošúpuc		ošúpavší	ošúpaný	ošúpanie
otáča	otáčajú	otáčaj	otáčal	otáčajúc	otáčajúci		otáčaný	otáčanie
otáľa	otáľajú	otáľaj	otáľal	otáľajúc		otáľavší		otáľanie
oťapí	oťapia	oťap	oťapil	oťapiac		oťapivší	oťapený	oťapenie
otaví	otavia	otav	otavil	otaviac		otavivší	otavený	otavenie
otelí	otelia	oteľ	otelil	oteliac		otelivší	otelený	otelenie
oteše/otesá	otešú/otesajú	oteš/otesaj	otesal	otešúc/otesajúc		otesavší	otesaný	otesanie
otĺka	otĺkajú	otĺkaj	otĺkal	otĺkajúc	otĺkajúci		otĺkaný	otĺkanie
otočí	otočia	stoč	stočil	otočiac		otočivší	otočený	otočenie
otŕča	otŕčajú	otŕčaj	otŕčal	otŕčajúc	otŕčajúci		otŕčaný	otŕčanie
otrčí	otrčia	otrč	otrčil	otrčiac		otrčivší	otrčený	otrčenie
otrhá	otrhajú	otrhaj	otrhal	otrhajúc		otrhavší	otrhaný	otrhanie
otrie	otrú	otri	otrel	otrúc		otrevší	otrený/otretý	otrenie/otretie
oťuká	oťukajú	oťukaj	oťukal	oťukajúc		oťukavší	oťukaný	oťukanie
otupí	otupia	otup	otupil	otupiac		otupivší	otupený	otupenie
otuží	otužia	otuž	otužil	otužiac		otuživší	otužený	otuženie
ovalí	ovalia	ovaľ	ovalil	ovaliac		ovalivší	ovalený	ovalenie
ovanie	ovanú	ovaň	ovanul	ovanúc		ovanuvší	ovanutý	ovanutie
ovädá	ovädajú	ovädaj	ovädol	ovädajúc	ovädajúci			ovädanie
overí	overia	over	overil	overiac		overivší	overený	overenie
ovesí	ovesia	oves	ovesil	ovesiac		ovesivší	ovesený	ovesenie
ovešia	ovešajú	ovešaj	ovešal	ovešajúc		ovešavší	ovešaný	ovešanie
ovíja	ovíjajú	ovíjaj	ovíjal	ovíjajúc	ovíjajúci		ovíjaný	ovíjanie
ovíňa	ovíňajú	ovíňaj	ovíňal	ovíňajúc	ovíňajúci		ovíňaný	ovíňanie
ovinie	ovinú	oviň	ovinul	ovinúc		ovinuvší	ovinutý	ovinutie
ovisá	ovisajú	ovisaj	ovisal	ovisajúc	ovisajúci		ovisaný	ovisanie
ovísa	ovísajú	ovísaj	ovísal	ovísajúc	ovísajúci		ovísaný	ovísanie
ovonia	ovoňajú	ovoňaj	ovoňal	ovoňajúc		ovoňavší	ovoňaný	ovoňanie
ozobe	ozobú	ozob	ozobal	ozobúc		ozobavší	ozobaný	ozobanie
ozubí	ozubia	ozub	ozubil	ozubiac		ozubivší	ozubený	ozubenie
ozýva	ozývajú	ozývaj	ozýval	ozývajúc	ozývajúci			ozývanie
ožení	oženia	ožeň	oženil	oženiac		oženivší	oženený	oženenie
ožíva	ožívajú	ožívaj	ožíval	ožívajúc	ožívajúci		ožívaný	ožívanie
oživí	oživia	oživ	oživil	oživiac		oživivší	oživený	oživenie
ožúva	ožúvajú	ožúvaj	ožúval	ožúvajúc	ožúvajúci		ožúvaný	ožúvanie
packá	packajú	packaj	packal	packajúc	packajúci		packaný	packanie
pacne	pacnú	pacni	pacol	pacnúc		pacnuvší	pacnutý	pacnutie
padne	padnú	padni	padol	padnúc		padnuvší	padnutý	padnutie
pácha / páše	páchajú / pášu	páchaj / páš	páchal	páchajúc/pášuc	pášuci/páchajúci		páchaný	páchanie
pance / pantá	pancú / pantajú	panci / pantaj	pantal	pantajúc	pantajúci			pantanie
papká	papkajú	papkaj	papkal	papkajúc	papkajúci		papkaný	papkanie
papre	paprú	papri	papral	paprúc	paprúci			papranie
pátra	pátrajú	pátraj	pátral	pátrajúc	pátrajúci			pátranie
patrí	patria	patri	patril	patriac	patriaci			patrenie
peľhá	peľhajú	peľhaj	peľhal	peľhajúc	peľhajúci		peľhaný	peľhanie
perlí	perlia	perli	perlil	perliac	perliaci			perlenie
pichá	pichajú	pichaj	pichal	pichajúc	pichajúci		pichaný	pichanie
pindá	pindajú	pindaj	pindal	pindajúc	pindajúci			pindanie
pinká	pinkajú	pinkaj	pinkal	pinkajúc	pinkajúci		pinkaný	pinkanie
pipká	pipkajú	pipkaj	pipkal	pipkajúc	pipkajúci			pipkanie
piple/piplá	piplú/piplajú	pipli/piplaj	piplal	piplúc/piplajúc	piplúci/piplajúci			piplanie
pípne	pípnu	pípni	pípol	pípnuc		pípnuvší		pípnutie
píska	pískajú	pískaj	pískal	pískajúc	pískajúci		pískaný	pískanie
pišká	piškajú	piškaj	piškal	piškajúc	piškajúci			piškanie
piští	pištia	pišť / pišti	pišťal	pištiac	pištiaci			pišťanie
pitve/pitvá	pitvú/pitvajú	pitvaj/pitvi	pitval	pitvúc/pitvajúc	pitvúci/pitvajúci		pitvaný	pitvanie
plače	plačú	plač	plakal	plačúc	plačúci			plakanie
pláka	plákajú	plákaj	plákal	plákajúc	plákajúci		plákaný	plákanie
planie	planú	plaň	planul	planúc	planúci			planutie
plaší	plašia	plaš	plašil	plašiac	plašiaci		plašený	plašenie
pláta	plátajú	plátaj	plátal	plátajúc	plátajúci		plátaný	plátanie
platí	platia	plať	platil	platiac	platiaci		platený	platenie
pláva	plávajú	plávaj	plával	plávajúc	plávajúci			plávanie
plaví	plavia	plav	plavil	plaviac	plaviaci		plavený	plavenie
plazí	plazia	plaz	plazil	plaziac	plaziaci			plazenie
pleká	plekajú	plekaj	plekal	plekajúc	plekajúci		plekaný	plekanie
plesá	plesajú	plesaj	plesal	plesajúc	plesajúci			plesanie
pletie	pletú	pleť	plietol	pletúc	pletúci		pletený	pletenie
plodí	plodia	ploď	plodil	plodiac	plodiaci		plodený	plodenie
plstí	plstia	plsti/plsť	plstil	plstiac	plstiaci		plstený	plstenie
pľuje	pľujú	pľuj	pľuval	pľujúc	pľujúci		pľuvaný	pľuvanie
plynie	plynú	plyň	plynul	plynúc	plynúci			plynutie
pĺzne	pĺznu	pĺzni	pĺzol	pĺznuc	pĺznuci			pĺznutie
poberie	poberú	pober	pobral	poberúc		pobravší	pobratý/pobraný	pobratie/pobranie
poctí	poctia	pocti	poctil	poctiac		poctivší	poctený	poctenie
počká	počkajú	počkaj	počkal	počkajúc		počkavší	počkaný	počkanie
podbá	podbajú	podbaj	podbal	podbajúc		podbavší	podbaný	podbanie
podbije	podbijú	podbi	podbil	podbijúc		podbivší	podbitý	podbitie
poddá	poddajú	poddaj	poddal	poddajúc		poddavší	poddaný	poddanie
podeje	podejú	podej	podel	podejúc		podevší	podený/podetý	podenie/podetie
podíde	podídu	podíď	podišiel	podíduc			podídený	podídenie
podkuje	podkujú	podkuj	podkul	podkujúc		podkuvší	podkutý	podkutie
podmyje	podmyjú	podmy	podmyl	podmyjúc		podmyvší	podmytý	podmytie
poderie	poderú	poder	podral	poderúc		podravší	podratý/podraný	podratie/podranie
podryje	podryjú	podry	podryl	podryjúc		podryvší	podrytý	podrytie
podšije	podšijú	podši	podšil	podšijúc		podšivší	podšitý	podšitie
podtne	podtnú	podtni	podťal	podtnúc		podťavší	podťatý	podťatie
poženie	poženú	požeň	pohnal	poženúc		pohnavší	pohnaný	pohnanie
pohnije	pohnijú	pohni	pohnil	pohnijúc		pohnivší	pohnitý	pohnitie
pohne	pohnú	pohni	pohol	pohnúc		pohnuvší	pohnutý	pohnutie
pohrá	pohrajú	pohraj	pohral	pohrajúc		pohravší	pohratý/pohraný	pohranie/pohratie
poje	pojedia	pojedz	pojedol	pojediac			pojedený	pojedenie
pokryje	pokryjú	pokry	pokryl	pokryjúc		pokryvší	pokrytý	pokrytie
poleje	polejú	polej	polial	polejúc		poliavší	poliaty	poliatie
poltí	poltia	polť / polti	poltil	poltiac	poltiaci		poltený	poltenie
pomôže	pomôžu	pomôž	pomohol	pomôžuc				
poorie	poorú	poor	pooral	poorúc		pooravší	pooraný	pooranie
popasie	popasú	popas	popásol	popasúc			popasený	popasenie
popľuje	popľujú	popľuj	popľul	popľujúc		popľuvší	popľutý	popľutie
popsuje	popsujú	popsuj	popsul	popsujúc		popsuvší	popsutý	popsutie
porastie	porastú	porasť / porasti	porástol	porastúc			porastený	porastenie
poseje	posejú	posej	posial	posejúc		posiavší	posiaty	posiatie
pošle	pošlú	pošli	poslal	pošlúc		poslavší	poslaný	poslanie
pospí	pospia	pospi	pospal	pospiac		pospavší	pospatý/pospaný	pospanie/pospatie
poserie	poserú	poser	posral	poserúc		posravší	posraný/posratý	posranie/posratie
postojí	postoja	postoj	postál	postojac		postávší	postáty	postátie
postí	postia	posť / posti	postil	postiac	postiaci			postenie
poští	poštia	pošti	pošťal	poštiac		pošťavší	pošťaný	pošťatie
potlčie	potlčú	potlč	potĺkol	potlčúc			potlčený	potlčenie
poúča	poúčajú	poúčaj	poúčal	poúčajúc	poúčajúci		poúčaný	poúčanie
poučí	poučia	pouč	poučil	poučiac		poučivší	poučený	poučenie
použije	použijú	použi	použil	použijúc		použivší	použitý	použitie
pozdá	pozdajú	pozdaj	pozdal	pozdajúc		pozdavší		pozdanie
pozná	poznajú	poznaj	poznal	poznajúc	poznajúci		poznaný	poznanie
pozve	pozvú	pozvi	pozval	pozvúc		pozvavší	pozvaný	pozvanie
požerie	požerú	požer	požral	požerúc		požravší	požraný/požratý	požranie/požratie
prasí	prasia	pras	prasil	prasiac	prasiaci			prasenie
práši	prášia	práš	prášil	prášiac	prášiaci		prášený	prášenie
prace	pracú	prac	pratal	pratajúc	pratajúci		prataný	pratanie
práva	právajú	právaj	prával	právajúc	právajúci			právanie
praží	pražia	praž	pražil	pražiac	pražiaci		pražený	praženie
prdí	prdia	prď	prdel	prdiac	prdiaci			prdenie
prdne	prdnú	prdni	prdol	prdnúc		prdnuvší		prdnutie
prebije	prebijú	prebi	prebil	prebijúc		prebivší	prebitý	prebitie
predá	predajú	predaj	predal	predajúc		predavší	predaný	predanie
prejde	prejdú	prejdi	prešiel	prejdúc			prejdený	prejdenie
prekuje	prekujú	prekuj	prekul	prekujúc		prekuvší	prekutý	prekutie
premyje	premyjú	premy	premyl	premyjúc		premyvší	premytý	premytie
prepne	prepnú	prepni	prepäl	prepnúc		prepävší	prepätý	prepätie
prepije	prepijú	prepi	prepil	prepijúc		prepivší	prepitý	prepitie
preryje	preryjú	prery	preryl	preryjúc		preryvší	prerytý	prerytie
prešije	prešijú	preši	prešil	prešijúc		prešivší	prešitý	prešitie
pretne	pretnú	pretni	preťal	pretnúc		preťavší	preťatý	preťatie
previje	previjú	previ	previl	previjúc		previvší	previtý	previtie
prezuje	prezujú	prezuj	prezul	prezujúc		prezuvší	prezutý	prezutie
prežije	prežijú	preži	prežil	prežijúc		preživší	prežitý	prežitie
prežuje	prežujú	prežuj	prežul	prežujúc		prežuvší	prežutý	prežutie
pŕhli	pŕhlia	pŕhli	pŕhlil	pŕhliac	pŕhliaci		pŕhlený	pŕhlenie
prchá	prchajú	prchaj	prchal	prchajúc	prchajúci			prchanie
pradie	pradú	praď	priadol	pradúc	pradúci		pradený	pradenie
pribije	pribijú	pribi	pribil	pribijúc		pribivší	pribitý	pribitie
pridá	pridajú	pridaj	pridal	pridajúc		pridavší	pridaný	pridanie
prijme	prijmú	prijmi	prijal	prijmúc		prijavší	prijatý	prijatie
prikuje	prikujú	prikuj	prikul	prikujúc		prikuvší	prikutý	prikutie
pripne	pripnú	pripni	pripäl	pripnúc		pripävší	pripätý	pripätie
pripije	pripijú	pripi	pripil	pripijúc		pripivší		pripitie
prisaje	prisajú	prisaj	prisal	prisajúc		prisavší	prisatý	prisatie
prišije	prišijú	priši	prišil	prišijúc		prišivší	prišitý	prišitie
prosí	prosia	pros	prosil	prosiac	prosiaci		prosený	prosenie
prple	prplú	prpli	prplal	prplúc/prplajúc	prplajúci		prplaný	prplanie
prská	prskajú	prskaj	prskal	prskajúc	prskajúci		prskaný	prskanie
prúdi	prúdia	prúď	prúdil	prúdiac	prúdiaci			prúdenie
pruží	pružia	pruž	pružil	pružiac	pružiaci			pruženie
przní	prznia	przni	prznil	przniac	przniaci		prznený	prznenie
pufká	pufkajú	pufkaj	pufkal	pufkajúc	pufkajúci		pufkaný	pufkanie
pukne	puknú	pukni	pukol	puknúc		puknuvší	puknutý	puknutie
pustí	pustia	pusť / pusti	pustil	pustiac		pustivší	pustený	pustenie
púšťa	púšťajú	púšťaj	púšťal	púšťajúc	púšťajúci		púšťaný	púšťanie
rafne	rafnú	rafni	rafol	rafnúc		rafnuvší	rafnutý	rafnutie
rajbe	rajbú	rajbi	rajbal	rajbúc/rajbajúc	rajbúci/rajbajúci		rajbaný	rajbanie
randí	randia	randi	randil	randiac	randiaci			randenie
rapčí	rapčia	rapči	rapčal	rapčiac	rapčiaci			rapčanie
rapká	rapkajú	rapkaj	rapkal	rapkajúc	rapkajúci			rapkanie
reční	rečnia	rečni	rečnil	rečniac	rečniaci			rečnenie
redne	rednú	redni	redol	rednúc	rednúci			rednutie
rehlí	rehlia	rehli	rehlil	rehliac	rehliaci			rehlenie
repce / reptá	repcú / reptajú	repci / reptaj	reptal	reptajúc	reptajúci			reptanie
riadi	riadia	riaď	riadil	riadiac	riadiaci		riadený	riadenie
riasi	riasia	rias	riasil	riasiac	riasiaci		riasený	riasenie
riedi	riedia	rieď	riedil	riediac	riediaci		riedený	riedenie
rieši	riešia	rieš	riešil	riešiac	riešiaci		riešený	riešenie
rihne	rihnú	rihni	rihol	rihnúc		rihnuvší		rihnutie
rinčí	rinčia	rinč/rinči	rinčal	rinčiac	rinčiaci			rinčanie
rojčí	rojčia	rojč / rojči	rojčil	rojčiac	rojčiaci		rojčený	rojčenie
rovná	rovnajú	rovnaj	rovnal	rovnajúc	rovnajúci		rovnaný	rovnanie
rozbije	rozbijú	rozbi	rozbil	rozbijúc		rozbivší	rozbitý	rozbitie
rozdá	rozdajú	rozdaj	rozdal	rozdajúc		rozdavší	rozdaný	rozdanie
rozduje	rozdujú	rozduj	rozdul	rozdujúc		rozduvší	rozdutý	rozdutie
rozíde	rozídu	rozíď	rozišiel	rozíduc			rozídený	rozídenie
rozkuje	rozkujú	rozkuj	rozkul	rozkujúc		rozkuvší	rozkutý	rozkutie
rozpne	rozpnú	rozpni	rozpäl	rozpnúc		rozpävší	rozpätý	rozpätie
rozpije	rozpijú	rozpi	rozpil	rozpijúc		rozpivší	rozpitý	rozpitie
rozryje	rozryjú	rozry	rozryl	rozryjúc		rozryvší	rozrytý	rozrytie
rozšije	rozšijú	rozši	rozšil	rozšijúc		rozšivší	rozšitý	rozšitie
roztne / rozotne	roztnú / rozotnú	roztni / rozotni	rozťal	roztnúc/rozotnúc		rozťavší	rozťatý	rozťatie
rozvije	rozvijú	rozvi	rozvil	rozvijúc		rozvivší	rozvitý	rozvitie
rozžne	rozžnú	rozžni	rozžal	rozžnúc		rozžavší	rozžatý	rozžatie
rozžuje	rozžujú	rozžuj	rozžul	rozžujúc		rozžuvší	rozžutý	rozžutie
rôzni	rôznia	rôzni	rôznil	rôzniac	rôzniaci			rôznenie
rupne	rupnú	rupni	rupol	rupnúc		rupnuvší	rupnutý	rupnutie
rypne	rypnú	rypni	rypol	rypnúc		rypnuvší	rypnutý	rypnutie
sadká	sadkajú	sadkaj	sadkal	sadkajúc		sadkavší	sadkaný	sadkanie
sadne	sadnú	sadni	sadol	sadnúc		sadnuvší	sadnutý	sadnutie
sádže/sádza	sádžu/sádzajú	sádž/sádzaj	sádzal	sádžuc/sádzajúc	sádžuci/sádzajúci		sádzaný	sádzanie
sadzí	sadzia	sadz	sadzil	sadziac	sadziaci		sadzený	sadzenie
scedí	scedia	sceď	scedil	scediac		scedivší	scedený	scedenie
scelí	scelia	sceľ	scelil	sceliac		scelivší	scelený	scelenie
sčerí	sčeria	sčer	sčeril	sčeriac		sčerivší	sčerený	sčerenie
sčeše	sčešú	sčeš	sčesal	sčešúc		sčesavší	sčesaný	sčesanie
sčíta	sčítajú	sčítaj	sčítal	sčítajúc		sčítavší	sčítaný	sčítanie
sčupí	sčupia	sčup	sčupil	sčupiac		sčupivší	sčupený	sčupenie
sedí	sedia	seď	sedel	sediac	sediaci			sedenie
sedká	sedkajú	sedkaj	sedkal	sedkajúc	sedkajúci			sedkanie
sedlá	sedlajú	sedlaj	sedlal	sedlajúc	sedlajúci		sedlaný	sedlanie
sekne	seknú	sekni	sekol	seknúc		seknuvší	seknutý	seknutie
sfára	sfárajú	sfáraj	sfáral	sfárajúc		sfáravší	sfáraný	sfáranie
sfotí	sfotia	sfoť	sfotil	sfotiac		sfotivší	sfotený	sfotenie
sfúka	sfúkajú	sfúkaj	sfúkal	sfúkajúc		sfúkavší	sfúkaný	sfúkanie
schne	schnú	schni	schol	schnúc	schnúci			schnutie
siaha	siahajú	siahaj	siahal	siahajúc	siahajúci			siahanie
siaka	siakajú	siakaj	siakal	siakajúc	siakajúci		siakaný	siakanie
sídli	sídlia	sídli	sídlil	sídliac	sídliaci			sídlenie
sipí	sipia	sip	sipel	sipiac	sipiaci			sipenie
sivie	sivejú	sivej	sivel	sivejúc	sivejúci			sivenie
skáče	skáču	skáč	skákal	skáčuc/skákajúc	skáčuci/skákajúci			skákanie
skalí	skalia	skaľ	skalil	skaliac		skalivší	skalený	skalenie
skanie	skanú	skaň	skanul	skanúc		skanuvší	skanutý	skanutie
skape	skapú	skap	skapal	skapúc		skapavší	skapatý/skapaný	skapanie
skára	skárajú	skáraj	skáral	skárajúc		skáravší	skáraný	skáranie
skáša	skášajú	skášaj	skášal	skášajúc	skášajúci		skášaný	skášanie
skazí	skazia	skaz	skazil	skaziac		skazivší	skazený	skazenie
skĺbi	skĺbia	skĺb	skĺbil	skĺbiac		skĺbivší	skĺbený	skĺbenie
skĺza	skĺzajú	skĺzaj	skĺzal	skĺzajúc	skĺzajúci			skĺzanie
skočí	skočia	skoč	skočil	skočiac		skočivší	skočený	skočenie
skolí	skolia	skoľ	skolil	skoliac		skolivší	skolený	skolenie
skoná	skonajú	skonaj	skonal	skonajúc		skonavší	skonaný	skonanie
skope	skopú	skop	skopal	skopúc		skopavší	skopaný	skopanie
skosí	skosia	skos	skosil	skosiac		skosivší	skosený	skosenie
skuje	skujú	skuj	skoval	skujúc		skovavší	skovaný	skovanie
skrčí	skrčia	skrč	skrčil	skrčiac		skrčivší	skrčený	skrčenie
skŕmi	skŕmia	skŕm	skŕmil	skŕmiac		skŕmivší	skŕmený	skŕmenie
skučí	skučia	skuč	skučal	skučiac	skučiaci			skučanie
skúma	skúmajú	skúmaj	skúmal	skúmajúc	skúmajúci		skúmaný	skúmanie
skúpi	skúpia	skúp	skúpil	skúpiac		skúpivší	skúpený	skúpenie
skúsi	skúsia	skús	skúsil	skúsiac		skúsivší	skúsený	skúsenie
skúša	skúšajú	skúšaj	skúšal	skúšajúc	skúšajúci		skúšaný	skúšanie
skúva	skúvajú	skúvaj	skúval	skúvajúc	skúvajúci		skúvaný	skúvanie
skvie	skvejú	skvej	skvel	skvejúc	skvejúci			skvenie
skýši	skýšia	skýš	skýšil	skýšiac		skýšivší	skýšený	skýšenie
sladí	sladia	slaď	sladil	sladiac	sladiaci		sladený	sladenie
slávi	slávia	sláv	slávil	sláviac	sláviaci		slávený	slávenie
slepí	slepia	slep	slepil	slepiac	slepiaci			slepenie
sliní	slinia	sliň	slinil	sliniac	sliniaci		slinený	slinenie
slope	slopú	slop	slopal	slopúc/slopajúc	slopúci/slopajúci		slopaný	slopanie
sľúbi	sľúbia	sľúb	sľúbil	sľúbiac		sľúbivší	sľúbený	sľúbenie
sluší	slušia	sluš	slušal	slušiac	slušiaci			slušanie
slúži	slúžia	slúž	slúžil	slúžiac	slúžiaci		slúžený	slúženie
smaží	smažia	smaž	smažil	smažiac	smažiaci		smažený	smaženie
smädí			smädilo					smädenie
smetí	smetia	smeť	smetil	smetiac	smetiaci			smetenie
smolí	smolia	smoľ	smolil	smoliac	smoliaci		smolený	smolenie
smrká	smrkajú	smrkaj	smrkal	smrkajúc	smrkajúci			smrkanie
smúti	smútia	smúť	smútil	smútiac	smútiaci			smútenie
snaží	snažia	snaž	snažil	snažiac	snažiaci			snaženie
sneží	snežia	snež	snežil	snežiac	snežiaci			sneženie
sníme	snímu	sním	snímal	snímajúc	snímajúci		snímaný	snímanie
sníva	snívajú	snívaj	sníval	snívajúc	snívajúci		snívaný	snívanie
snorí	snoria	snor	snoril	snoriac	snoriaci			snorenie
snuje	snujú	snuj	snoval	snujúc	snujúci		snovaný	snovanie
snúbi	snúbia	snúb	snúbil	snúbiac	snúbiaci			snúbenie
soptí	soptia	sopti	soptil	soptiac	soptiaci		soptený	soptenie
spadá	spadajú	spadaj	spadal	spadajúc	spadajúci			spadanie
spája	spájajú	spájaj	spájal	spájajúc	spájajúci		spájaný	spájanie
spáli	spália	spáľ	spálil	spáliac		spálivší	spálený	spálenie
spapá	spapajú	spapaj	spapal	spapajúc		spapavší	spapaný	spapanie
sparí	sparia	spar	sparil	spariac		sparivší	sparený	sparenie
spári	spária	spár	spáril	spáriac		spárivší	spárený	spárenie
spása	spásajú	spásaj	spásal	spásajúc	spásajúci		spásaný	spásanie
spasí	spasia	spas	spasil	spasiac		spasivší	spasený	spasenie
spáva	spávajú	spávaj	spával	spávajúc	spávajúci			spávanie
spätí	spätia	späť	spätil	spätiac		spätivší	spätený	spätenie
speká	spekajú	spekaj	spekal	spekajúc	spekajúci		spekaný	spekanie
spení	spenia	speň	spenil	speniac		spenivší	spenený	spenenie
spečie	spečú	speč	spiekol	spečúc			spečený	spečenie
spíja	spíjajú	spíjaj	spíjal	spíjajúc	spíjajúci		spíjaný	spíjanie
spíli	spília	spíľ	spílil	spíliac		spílivší	spílený	spílenie
spína	spínajú	spínaj	spínal	spínajúc	spínajúci		spínaný	spínanie
spíše	spíšu	spíš	spísal	spíšuc		spísavší	spísaný	spísanie
spĺňa	spĺňajú	spĺňaj	spĺňal	spĺňajúc	spĺňajúci		spĺňaný	spĺňanie
splní	splnia	splň	splnil	splniac		splnivší	splnený	splnenie
spojí	spoja	spoj	spojil	spojac		spojivší	spojený	spojenie
sporí	sporia	spor	sporil	sporiac	sporiaci		sporený	sporenie
spotí	spotia	spoť	spotil	spotiac		spotivší	spotený	spotenie
spúta	spútajú	spútaj	spútal	spútajúc		spútavší	spútaný	spútanie
spýta	spýtajú	spýtaj	spýtal	spýtajúc		spýtavší	spýtaný	spýtanie
srkne	srknú	srkni	srkol	srknúc		srknuvší	srknutý	srknutie
stáča	stáčajú	stáčaj	stáčal	stáčajúc	stáčajúci		stáčaný	stáčanie
stačí	stačia	stač	stačil	stačiac	stačiaci	stačivší		stačenie
stápa	stápajú	stápaj	stápal	stápajúc	stápajúci		stápaný	stápanie
stará	starajú	staraj	staral	starajúc	starajúci			staranie
stavia	stavajú	stavaj	staval	stavajúc	stavajúci		stavaný	stavanie
stáva	stávajú	stávaj	stával	stávajúc	stávajúci		stávaný	stávanie
staví	stavia	stav	stavil	staviac		stavivší	stavený	stavenie
sťaží	sťažia	sťaž	sťažil	sťažiac		sťaživší	sťažený	sťaženie
steká	stekajú	stekaj	stekal	stekajúc	stekajúci		stekaný	stekanie
stená / stene	stenajú / stenú	steň / stenaj	stenal	stenajúc	stenajúci			stenanie
stečie	stečú	steč	stiekol	stečúc			stečený	stečenie
stíha	stíhajú	stíhaj	stíhal	stíhajúc	stíhajúci		stíhaný	stíhanie
stína	stínajú	stínaj	stínal	stínajúc	stínajúci		stínaný	stínanie
stíši	stíšia	stíš	stíšil	stíšiac		stíšivší	stíšený	stíšenie
stlie	stlejú	stlej	stlel	stlejúc		stlevší	stlený/stletý	stlenie/stletie
stĺka	stĺkajú	stĺkaj	stĺkal	stĺkajúc	stĺkajúci		stĺkaný	stĺkanie
stlmí	stlmia	stlm	stlmil	stlmiac		stlmivší	stlmený	stlmenie
stmí			stmelo				stmené	stmenie
stočí	stočia	stoč	stočil	stočiac		stočivší	stočený	stočenie
stoná / stone	stonajú / stonú	stoň / stonaj	stonal	stonajúc	stonajúci			stonanie
stopí	stopia	stop	stopil	stopiac		stopivší	stopený	stopenie
strčí	strčia	strč	strčil	strčiac		strčivší	strčený	strčenie
strhá	strhajú	strhaj	strhal	strhajúc		strhavší	strhaný	strhanie
stŕha	stŕhajú	stŕhaj	stŕhal	stŕhajúc	stŕhajúci		stŕhaný	stŕhanie
strie	strú	stri	strel	strúc	strúci			strenie/stretie
strká	strkajú	strkaj	strkal	strkajúc	strkajúci		strkaný	strkanie
strmí	strmia	strm	strmil	strmiac	strmiaci			strmenie
strnie	strnú	strň	strnul	strnúc		strnuvší	strnutý	strnutie
stŕpa	stŕpajú	stŕpaj	stŕpal	stŕpajúc	stŕpajúci		stŕpaný	stŕpanie
stŕži	stŕžia	stŕž	stŕžil	stŕžiac		stŕživší	stŕžený	stŕženie
stúli	stúlia	stúľ	stúlil	stúliac		stúlivší	stúlený	stúlenie
stúpa	stúpajú	stúpaj	stúpal	stúpajúc	stúpajúci			stúpanie
stupí	stupia	stup	stupil	stupiac		stupivší	stupený	stupenie
stúpi	stúpia	stúp	stúpil	stúpiac		stúpivší		stúpenie
stuží	stužia	stuž	stužil	stužiac		stuživší	stužený	stuženie
stýka	stýkajú	stýkaj	stýkal	stýkajúc	stýkajúci			stýkanie
stýra	stýrajú	stýraj	stýral	stýrajúc		stýravší	stýraný	stýranie
svári	svária	svár	sváril	sváriac	sváriaci			svárenie
svätí	svätia	sväť	svätil	svätiac	svätiaci		svätený	svätenie
sviní	svinia	sviň	svinil	sviniac	sviniaci		svinený	svinenie
svitá	svitajú		svital					svitanie
svrká	svrkajú	svrkaj	svrkal	svrkajúc	svrkajúci			svrkanie
sykne	syknú	sykni	sykol	syknúc		syknuvší		syknutie
šalie	šalejú	šalej	šalel	šalejúc	šalejúci			šalenie
šantí	šantia	šanť / šanti	šantil	šantiac	šantiaci			šantenie
šepká	šepkajú	šepkaj	šepkal	šepkajúc	šepkajúci		šepkaný	šepkanie
šepne	šepnú	šepni	šepol	šepnúc		šepnuvší	šepnutý	šepnutie
šepce / šeptá	šepcú / šeptajú	šepci / šeptaj	šeptal	šeptajúc	šeptajúci		šeptaný	šeptanie
šetrí	šetria	šetri	šetril	šetriac	šetriaci		šetrený	šetrenie
šiali	šialia	šiaľ	šialil	šialiac	šialiaci		šialený	šialenie
šiana	šianajú	šianaj	šianal	šianajúc	šianajúci		šiananý	šiananie
